Index,Year,Name,RuTerm,RuTerm_filtered,YAKE
1,2013,Adrova,"scrypt, размер блока, рисунок, хеширование, соль, пароль, sha512, gost, уникальная соль, радужные таблица","размер блока, рисунок, хеширование, соль, пароль, уникальная соль, радужные таблица, данный случай, время хеширования, перебор","хеширования, алгоритмов хеширования, SCRYPT, паролей, раундов, алгоритмов, BCRYPT, Полежаев Оренбургский, GOST, Алгоритм"
2,2013,Aksarin,"интернет, новая сцена, театр, александринский театр, открытие, зритель, спектакль, театральное представление, новые технологии, экран","интернет, новая сцена, театр, александринский театр, открытие, зритель, спектакль, театральное представление, новые технологии, экран","Новой сцены, сцены Александринского, Александринского театра, Новой, интернет, сцены, открытии Новой, театра, сети интернет, Александринского"
3,2013,Arzumanyan,"онтология, концептуальные карты, знания, необходимость, визуализация, такой образ, концептуальное моделирование, компьютерные науки, развитие, поиск","онтология, концептуальные карты, знания, необходимость, визуализация, такой образ, концептуальное моделирование, компьютерные науки, развитие, поиск","информации, Онтологии, концептуальных карт, концептуальных, области, предметной области, восприятие информации, представления, поиска, структуризации информации"
4,2013,Bershadskaya,"электронное правительство, рои, портал, социальные сети, социальные медиа, российская общественная инициатива, государственные услуги, документы, исследуемая тематика, результат","электронное правительство, портал, социальные сети, социальные медиа, российская общественная инициатива, государственные услуги, документы, исследуемая тематика, результат, работа","электронного правительства, электронного, правительства, социальных медиа, услуг электронного, социальных, услуг, социальных сетей, государственных услуг, РОИ"
5,2013,Bikkulov,"подростковые самоубийства, социальные сети, самоубийство, социальные медиа, 100 тысяч, сми, россия, подростки, месяц, время","подростковые самоубийства, социальные сети, самоубийство, социальные медиа, россия, подростки, месяц, время, подростковые самоубийство, среднее","подростковых самоубийств, самоубийств, социальных медиа, социальных, подростковых, социальных сетях, сообщений, СМИ, самоубийств среди, медиа"
6,2013,Bogomolova,"государственное управление, предметная область, социальные услуги, россия, социальная помощь, форма, термины, онтология, соответствие, работа","государственное управление, предметная область, социальные услуги, россия, социальная помощь, форма, термины, онтология, соответствие, работа","предметной области, государственного управления, онтологии, государственное управление, управления, статистического наблюдения, УИС РОССИЯ, области, онтологии предметной, показателей"
7,2013,Bogoraz,"проникновение, тестирование, прочность, документ, тесты, методика, межсетевые экраны, атака, данная методика, система","проникновение, тестирование, прочность, документ, тесты, методика, межсетевые экраны, атака, данная методика, система","проникновение, тестов, безопасности, тестирования, уязвимостей, проведения тестов, Security Testing, Digital Security, Security, оценки"
8,2013,Bolgov,"электронная демократия, электронное участие, граждане, россия, разные страны, обратная связь, опросы, общественное мнение, эксперты, сша","электронная демократия, электронное участие, граждане, россия, разные страны, обратная связь, опросы, общественное мнение, эксперты, страны","электронной демократии, электронного участия, демократии, электронной, электронного, участия, механизмов электронной, России, разных странах, электронного правительства"
9,2013,Boyarsky,"слово, предложения, предлог, существительное, словосочетание, х, класс, наречие, словарь, прилагательное","слово, предложения, предлог, существительное, словосочетание, класс, наречие, словарь, прилагательное, слова","слова, омонимии, слов, слово, анализа, предложения, словосочетание, существительное, является, SemSin"
10,2013,Boykov,"примеры, термин, тезаурус, поэтология, поле, стих, метрика, художественная речь, часть, целое","примеры, термин, тезаурус, поэтология, поле, стих, метрика, художественная речь, часть, целое","Тезауруса, термина, Стих, поэтологии, III, Примеры, ТСТ, стопный стих, равносложный стих, Поля ТСТ"
11,2013,Brodovskaya,"in the article analyzes the characteristics of the perception of the russian users of political subjectivity in the internet space, identifies the major trends in the global network of political functions in modern russia, the political subjectivity of the russians in the perception of internet users, results of the within the framework of world internet project-2012 e.v, realized the sholokhov moscow state university for the humanities, brodovskaya the article reflects some results of the research, world internet project in russia",,"World Internet, The, Internet, Internet Project, World, the within, within the, the framework, the Internet, the perception"
12,2013,Brodovskaya,"статья, реализованный московский государственный гуманитарные университет имени, world internet project in russia, основные тенденции развития, некоторые результаты исследования, современная россия, российские пользователи, политические функции, политическая субъектность, особенности восприятия","статья, реализованный московский государственный гуманитарные университет имени, основные тенденции развития, некоторые результаты исследования, современная россия, российские пользователи, политические функции, политическая субъектность, особенности восприятия, глобальная сеть","World Internet, Internet Project, реализованного Московским, Московским государственным, результаты исследования, отражены некоторые, некоторые результаты, государственным гуманитарным, гуманитарным университетом, университетом имени"
13,2013,Brodovskaya,"интернет, глобальная сеть, россияне, респонденты, позиция, политические функции, политическая субъектность, пространство, отношение, возраст","интернет, глобальная сеть, россияне, респонденты, позиция, политические функции, политическая субъектность, пространство, отношение, возраст","глобальной сети, политической субъектности, Интернет, Интернете, Интернета, россиян, пространстве Интернет, глобальной, политической, действия властей"
14,2013,Chirkin,"страница, навигация, гиперссылка, переход, неструктурированные источники, статья, сайт, проблема, практика, информация","страница, навигация, гиперссылка, переход, неструктурированные источники, статья, сайт, проблема, практика, информация","данных, например, извлечения данных, страницы, извлечения, извлечение, сайта, data, страниц, следует"
15,2013,Chizhik,"интернет, сеть, сайт, мультимедийный продукт, случай, целевая аудитория, продукт, рекламная акции, качество, потенциальные клиенты","интернет, сеть, сайт, мультимедийный продукт, случай, целевая аудитория, продукт, рекламная акции, качество, потенциальные клиенты","сети Интернет, сети, Интернет, продукта, информации, является, мультимедийного продукта, Необходимо отметить, рекламной акции, случае"
16,2013,Dyakova,"электронное правительство, китай, индекс развития, система, регионы, переход, человеческое капитал, информационные технологии, государственное управление, сфера","электронное правительство, китай, индекс развития, система, регионы, переход, человеческое капитал, информационные технологии, государственное управление, сфера","электронного правительства, Китае, развития электронных, развития, правительства, электронного, электронных услуг, развития человеческого, индексу развития, власти"
17,2013,Evtushenko,"число, стандарты, государство, изменения, процессно-проектное управление, все уровни, функции, процессы, главное, возможность","число, стандарты, государство, изменения, процессно-проектное управление, функции, процессы, главное, возможность, централизованная функциональная архитектура","управления, системы управления, системы, числе, процессов, система, процессно-проектного управления, управления изменениями, систем, дальнейшем"
