nltk,razdel,segtok,pymorphy,spacy,stanza,moses,ufal
Была,Была,Была,Была,Была,Была,Была,Была
темная,темная,темная,темная,темная,темная,темная,темная
",",",",",",",",",",",",",",","
осенняя,осенняя,осенняя,осенняя,осенняя,осенняя,осенняя,осенняя
ночь,ночь,ночь.,ночь,ночь,ночь,ночь,ночь
.,.,Старый,.,.,.,.,.
Старый,Старый,банкир,Старый,Старый,Старый,Старый,Старый
банкир,банкир,ходил,банкир,банкир,банкир,банкир,банкир
ходил,ходил,у,ходил,ходил,ходил,ходил,ходил
у,у,себя,у,у,у,у,у
себя,себя,в,себя,себя,себя,себя,себя
в,в,кабинете,в,в,в,в,в
кабинете,кабинете,из,кабинете,кабинете,кабинете,кабинете,кабинете
из,из,угла,из,из,из,из,из
угла,угла,в,угла,угла,угла,угла,угла
в,в,угол,в,в,в,в,в
угол,угол,и,угол,угол,угол,угол,угол
и,и,вспоминал,и,и,и,и,и
вспоминал,вспоминал,",",вспоминал,вспоминал,вспоминал,вспоминал,вспоминал
",",",",как,",",",",",",",",","
как,как,пятнадцать,как,как,как,как,как
пятнадцать,пятнадцать,лет,пятнадцать,пятнадцать,пятнадцать,пятнадцать,пятнадцать
лет,лет,тому,лет,лет,лет,лет,лет
тому,тому,назад,тому,тому,тому,тому,тому
назад,назад,",",назад,назад,назад,назад,назад
",",",",осенью,",",",",",",",",","
осенью,осенью,",",осенью,осенью,осенью,осенью,осенью
",",",",он,",",",",",",",",","
он,он,давал,он,он,он,он,он
давал,давал,вечер.,давал,давал,давал,давал,давал
вечер,вечер,На,вечер,вечер,вечер,вечер,вечер
.,.,этом,.,.,.,.,.
На,На,вечере,На,На,На,На,На
этом,этом,было,этом,этом,этом,этом,этом
вечере,вечере,много,вечере,вечере,вечере,вечере,вечере
было,было,умных,было,было,было,было,было
много,много,людей,много,много,много,много,много
умных,умных,и,умных,умных,умных,умных,умных
людей,людей,велись,людей,людей,людей,людей,людей
и,и,интересные,и,и,и,и,и
велись,велись,разговоры.,велись,велись,велись,велись,велись
интересные,интересные,Между,интересные,интересные,интересные,интересные,интересные
разговоры,разговоры,прочим,разговоры,разговоры,разговоры,разговоры,разговоры
.,.,говорили,.,.,.,.,.
Между,Между,о,Между,Между,Между,Между,Между
прочим,прочим,смертной,прочим,прочим,прочим,прочим,прочим
говорили,говорили,казни.,говорили,говорили,говорили,говорили,говорили
о,о,Гости,о,о,о,о,о
смертной,смертной,",",смертной,смертной,смертной,смертной,смертной
казни,казни,среди,казни,казни,казни,казни,казни
.,.,которых,.,.,.,.,.
Гости,Гости,было,Гости,Гости,Гости,Гости,Гости
",",",",немало,",",",",",",",",","
среди,среди,ученых,среди,среди,среди,среди,среди
которых,которых,и,которых,которых,которых,которых,которых
было,было,журналистов,было,было,было,было,было
немало,немало,",",немало,немало,немало,немало,немало
ученых,ученых,в,ученых,ученых,ученых,ученых,ученых
и,и,большинстве,и,и,и,и,и
журналистов,журналистов,относились,журналистов,журналистов,журналистов,журналистов,журналистов
",",",",к,",",",",",",",",","
в,в,смертной,в,в,в,в,в
большинстве,большинстве,казни,большинстве,большинстве,большинстве,большинстве,большинстве
относились,относились,отрицательно.,относились,относились,относились,относились,относились
к,к,Они,к,к,к,к,к
смертной,смертной,находили,смертной,смертной,смертной,смертной,смертной
казни,казни,этот,казни,казни,казни,казни,казни
отрицательно,отрицательно,способ,отрицательно,отрицательно,отрицательно,отрицательно,отрицательно
.,.,наказания,.,.,.,.,.
Они,Они,устаревшим,Они,Они,Они,Они,Они
находили,находили,",",находили,находили,находили,находили,находили
этот,этот,непригодным,этот,этот,этот,этот,этот
способ,способ,для,способ,способ,способ,способ,способ
наказания,наказания,христианских,наказания,наказания,наказания,наказания,наказания
устаревшим,устаревшим,государств,устаревшим,устаревшим,устаревшим,устаревшим,устаревшим
",",",",и,",",",",",",",",","
непригодным,непригодным,безнравственным.,непригодным,непригодным,непригодным,непригодным,непригодным
для,для,По,для,для,для,для,для
христианских,христианских,мнению,христианских,христианских,христианских,христианских,христианских
государств,государств,некоторых,государств,государств,государств,государств,государств
и,и,из,и,и,и,и,и
безнравственным,безнравственным,них,безнравственным,безнравственным,безнравственным,безнравственным,безнравственным
.,.,",",.,.,.,.,.
По,По,смертную,По,По,По,По,По
мнению,мнению,казнь,мнению,мнению,мнению,мнению,мнению
некоторых,некоторых,повсеместно,некоторых,некоторых,некоторых,некоторых,некоторых
из,из,следовало,из,из,из,из,из
них,них,бы,них,них,них,них,них
",",",",заменить,",",",",",",",",","
смертную,смертную,пожизненным,смертную,смертную,смертную,смертную,смертную
казнь,казнь,заключением.,казнь,казнь,казнь,казнь,казнь
повсеместно,повсеместно,—,повсеместно,повсеместно,повсеместно,повсеместно,повсеместно
следовало,следовало,Я,следовало,следовало,следовало,следовало,следовало
бы,бы,с,бы,бы,бы,бы,бы
заменить,заменить,вами,заменить,заменить,заменить,заменить,заменить
пожизненным,пожизненным,не,пожизненным,пожизненным,пожизненным,пожизненным,пожизненным
заключением,заключением,согласен,заключением,заключением,заключением,заключением,заключением
.,.,",",.,.,.,.,.
—,—,—,—,"
",—,—,—
Я,Я,сказал,Я,—,Я,Я,Я
с,с,хозяин-банкир.,с,Я,с,с,с
вами,вами,—,вами,с,вами,вами,вами
не,не,Я,не,вами,не,не,не
согласен,согласен,не,согласен,не,согласен,согласен,согласен
",",",",пробовал,",",согласен,",",",",","
—,—,ни,—,",",—,—,—
сказал,сказал,смертной,сказал,—,сказал,сказал,сказал
хозяин-банкир,хозяин-банкир,казни,хозяин-банкир,сказал,хозяин,хозяин,хозяин
.,.,",",.,хозяин,-,@-@,-
—,—,ни,—,-,банкир,банкир,банкир
Я,Я,пожизненного,Я,банкир,.,.,.
не,не,заключения,не,.,—,—,—
пробовал,пробовал,",",пробовал,—,Я,Я,Я
ни,ни,но,ни,Я,не,не,не
смертной,смертной,если,смертной,не,пробовал,пробовал,пробовал
казни,казни,можно,казни,пробовал,ни,ни,ни
",",",",судить,",",ни,смертной,смертной,смертной
ни,ни,a,ни,смертной,казни,казни,казни
пожизненного,пожизненного,priori,пожизненного,казни,",",",",","
заключения,заключения,",",заключения,",",ни,ни,ни
",",",",то,",",ни,пожизненного,пожизненного,пожизненного
но,но,",",но,пожизненного,заключения,заключения,заключения
если,если,по-моему,если,заключения,",",",",","
можно,можно,",",можно,",",но,но,но
судить,судить,смертная,судить,но,если,если,если
a,a,казнь,a,если,можно,можно,можно
priori,priori,нравственнее,priori,можно,судить,судить,судить
",",",",и,",",судить,a,a,a
то,то,гуманнее,то,a,priori,priori,priori
",",",",заключения.,",",priori,",",",",","
по-моему,по-моему,Казнь,по-моему,",",то,то,то
",",",",убивает,",",то,",",",",","
смертная,смертная,сразу,смертная,",",по-моему,по,по-моему
казнь,казнь,",",казнь,по,",",@-@,","
нравственнее,нравственнее,а,нравственнее,-,смертная,моему,смертная
и,и,пожизненное,и,моему,казнь,",",казнь
гуманнее,гуманнее,заключение,гуманнее,",",нравственнее,смертная,нравственнее
заключения,заключения,медленно.,заключения,смертная,и,казнь,и
.,.,Какой,.,казнь,гуманнее,нравственнее,гуманнее
Казнь,Казнь,же,Казнь,нравственнее,заключения,и,заключения
убивает,убивает,палач,убивает,и,.,гуманнее,.
сразу,сразу,человечнее,сразу,гуманнее,Казнь,заключения,Казнь
",",",",?,",",заключения,убивает,.,убивает
а,а,Тот,а,.,сразу,Казнь,сразу
пожизненное,пожизненное,ли,пожизненное,Казнь,",",убивает,","
заключение,заключение,",",заключение,убивает,а,сразу,а
медленно,медленно,который,медленно,сразу,пожизненное,",",пожизненное
.,.,убивает,.,",",заключение,а,заключение
Какой,Какой,вас,Какой,а,медленно,пожизненное,медленно
же,же,в,же,пожизненное,.,заключение,.
палач,палач,несколько,палач,заключение,Какой,медленно,Какой
человечнее,человечнее,минут,человечнее,медленно,же,.,же
?,?,",",?,.,палач,Какой,палач
Тот,Тот,или,Тот,Какой,человечнее,же,человечнее
ли,ли,тот,ли,же,?,палач,?
",",",",",",",",палач,Тот,человечнее,Тот
который,который,который,который,человечнее,ли,?,ли
убивает,убивает,вытягивает,убивает,?,",",Тот,","
вас,вас,из,вас,Тот,который,ли,который
в,в,вас,в,ли,убивает,",",убивает
несколько,несколько,жизнь,несколько,",",вас,который,вас
минут,минут,в,минут,который,в,убивает,в
",",",",продолжение,",",убивает,несколько,вас,несколько
или,или,многих,или,вас,минут,в,минут
тот,тот,лет,тот,в,",",несколько,","
",",",",?,",",несколько,или,минут,или
который,который,—,который,минут,тот,",",тот
вытягивает,вытягивает,То,вытягивает,",",",",или,","
из,из,и,из,или,который,тот,который
вас,вас,другое,вас,тот,вытягивает,",",вытягивает
жизнь,жизнь,одинаково,жизнь,",",из,который,из
в,в,безнравственно,в,который,вас,вытягивает,вас
продолжение,продолжение,",",продолжение,вытягивает,жизнь,из,жизнь
многих,многих,—,многих,из,в,вас,в
лет,лет,заметил,лет,вас,продолжение,жизнь,продолжение
?,?,кто-то,?,жизнь,многих,в,многих
—,—,из,—,в,лет,продолжение,лет
То,То,гостей,То,продолжение,?,многих,?
и,и,",",и,многих,—,лет,—
другое,другое,—,другое,лет,То,?,То
одинаково,одинаково,потому,одинаково,?,и,—,и
безнравственно,безнравственно,что,безнравственно,"
",другое,То,другое
",",",",имеет,",",—,одинаково,и,одинаково
—,—,одну,—,То,безнравственно,другое,безнравственно
заметил,заметил,и,заметил,и,",",одинаково,","
кто-то,кто-то,ту,кто-то,другое,—,безнравственно,—
из,из,же,из,одинаково,заметил,",",заметил
гостей,гостей,цель,гостей,безнравственно,кто-то,—,кто-то
",",",",—,",",",",из,заметил,из
—,—,отнятие,—,—,гостей,кто,гостей
потому,потому,жизни.,потому,заметил,",",@-@,","
что,что,Государство,что,кто,—,то,—
имеет,имеет,—,имеет,-,потому,из,потому
одну,одну,не,одну,то,что,гостей,что
и,и,бог.,и,из,имеет,",",имеет
ту,ту,Оно,ту,гостей,одну,—,одну
же,же,не,же,",",и,потому,и
цель,цель,имеет,цель,—,ту,что,ту
—,—,права,—,потому,же,имеет,же
отнятие,отнятие,отнимать,отнятие,что,цель,одну,цель
жизни,жизни,то,жизни,имеет,—,и,—
.,.,",",.,одну,отнятие,ту,отнятие
Государство,Государство,чего,Государство,и,жизни,же,жизни
—,—,не,—,ту,.,цель,.
не,не,может,не,же,Государство,—,Государство
бог,бог,вернуть,бог,цель,—,отнятие,—
.,.,",",.,—,не,жизни,не
Оно,Оно,если,Оно,отнятие,бог,.,бог
не,не,захочет.,не,жизни,.,Государство,.
имеет,имеет,Среди,имеет,.,Оно,—,Оно
права,права,гостей,права,Государство,не,не,не
отнимать,отнимать,находился,отнимать,—,имеет,бог,имеет
то,то,один,то,не,права,.,права
",",",",юрист,",",бог,отнимать,Оно,отнимать
чего,чего,",",чего,.,то,не,то
не,не,молодой,не,Оно,",",имеет,","
может,может,человек,может,не,чего,права,чего
вернуть,вернуть,лет,вернуть,имеет,не,отнимать,не
",",",",двадцати,",",права,может,то,может
если,если,пяти.,если,отнимать,вернуть,",",вернуть
захочет,захочет,Когда,захочет,то,",",чего,","
.,.,спросили,.,",",если,не,если
Среди,Среди,его,Среди,чего,захочет,может,захочет
гостей,гостей,мнения,гостей,не,.,вернуть,.
находился,находился,",",находился,может,Среди,",",Среди
один,один,он,один,вернуть,гостей,если,гостей
юрист,юрист,сказал,юрист,",",находился,захочет,находился
",",",",:,",",если,один,.,один
молодой,молодой,—,молодой,захочет,юрист,Среди,юрист
человек,человек,И,человек,.,",",гостей,","
лет,лет,смертная,лет,"
",молодой,находился,молодой
двадцати,двадцати,казнь,двадцати,Среди,человек,один,человек
пяти,пяти,и,пяти,гостей,лет,юрист,лет
.,.,пожизненное,.,находился,двадцати,",",двадцати
Когда,Когда,заключение,Когда,один,пяти,молодой,пяти
спросили,спросили,одинаково,спросили,юрист,.,человек,.
его,его,безнравственны,его,",",Когда,лет,Когда
мнения,мнения,",",мнения,молодой,спросили,двадцати,спросили
",",",",но,",",человек,его,пяти,его
он,он,если,он,лет,мнения,.,мнения
сказал,сказал,бы,сказал,двадцати,",",Когда,","
:,:,мне,:,пяти,он,спросили,он
—,—,предложили,—,.,сказал,его,сказал
И,И,выбирать,И,Когда,:,мнения,:
смертная,смертная,между,смертная,спросили,—,",",—
казнь,казнь,казнью,казнь,его,И,он,И
и,и,и,и,мнения,смертная,сказал,смертная
пожизненное,пожизненное,пожизненным,пожизненное,",",казнь,:,казнь
заключение,заключение,заключением,заключение,он,и,—,и
одинаково,одинаково,",",одинаково,сказал,пожизненное,И,пожизненное
безнравственны,безнравственны,то,безнравственны,:,заключение,смертная,заключение
",",",",",",",","
",одинаково,казнь,одинаково
но,но,конечно,но,—,безнравственны,и,безнравственны
если,если,",",если,И,",",пожизненное,","
бы,бы,я,бы,смертная,но,заключение,но
мне,мне,выбрал,мне,казнь,если,одинаково,если
предложили,предложили,бы,предложили,и,бы,безнравственны,бы
выбирать,выбирать,второе.,выбирать,пожизненное,мне,",",мне
между,между,Жить,между,заключение,предложили,но,предложили
казнью,казнью,как-нибудь,казнью,одинаково,выбирать,если,выбирать
и,и,лучше,и,безнравственны,между,бы,между
пожизненным,пожизненным,",",пожизненным,",",казнью,мне,казнью
заключением,заключением,чем,заключением,но,и,предложили,и
",",",",никак.,",",если,пожизненным,выбирать,пожизненным
то,то,Поднялся,то,бы,заключением,между,заключением
",",",",оживленный,",",мне,",",казнью,","
конечно,конечно,спор.,конечно,предложили,то,и,то
",",",",Банкир,",",выбирать,",",пожизненным,","
я,я,",",я,между,конечно,заключением,конечно
выбрал,выбрал,бывший,выбрал,казнью,",",",",","
бы,бы,тогда,бы,и,я,то,я
второе,второе,помоложе,второе,пожизненным,выбрал,",",выбрал
.,.,и,.,заключением,бы,конечно,бы
Жить,Жить,нервнее,Жить,",",второе,",",второе
как-нибудь,как-нибудь,",",как-нибудь,то,.,я,.
лучше,лучше,вдруг,лучше,",",Жить,выбрал,Жить
",",",",вышел,",",конечно,как-нибудь,бы,как-нибудь
чем,чем,из,чем,",",лучше,второе,лучше
никак,никак,себя,никак,я,",",.,","
.,.,",",.,выбрал,чем,Жить,чем
Поднялся,Поднялся,ударил,Поднялся,бы,никак,как,никак
оживленный,оживленный,кулаком,оживленный,второе,.,@-@,.
спор,спор,по,спор,.,Поднялся,нибудь,Поднялся
.,.,столу,.,Жить,оживленный,лучше,оживленный
Банкир,Банкир,и,Банкир,как,спор,",",спор
",",",",крикнул,",",-,.,чем,.
бывший,бывший,",",бывший,нибудь,Банкир,никак,Банкир
тогда,тогда,обращаясь,тогда,лучше,",",.,","
помоложе,помоложе,к,помоложе,",",бывший,Поднялся,бывший
и,и,молодому,и,чем,тогда,оживленный,тогда
нервнее,нервнее,юристу,нервнее,никак,помоложе,спор,помоложе
",",",",:,",",.,и,.,и
вдруг,вдруг,—,вдруг,"
",нервнее,Банкир,нервнее
вышел,вышел,Неправда,вышел,Поднялся,",",",",","
из,из,!,из,оживленный,вдруг,бывший,вдруг
себя,себя,Держу,себя,спор,вышел,тогда,вышел
",",",",пари,",",.,из,помоложе,из
ударил,ударил,на,ударил,Банкир,себя,и,себя
кулаком,кулаком,два,кулаком,",",",",нервнее,","
по,по,миллиона,по,бывший,ударил,",",ударил
столу,столу,",",столу,тогда,кулаком,вдруг,кулаком
и,и,что,и,помоложе,по,вышел,по
крикнул,крикнул,вы,крикнул,и,столу,из,столу
",",",",не,",",нервнее,и,себя,и
обращаясь,обращаясь,высидите,обращаясь,",",крикнул,",",крикнул
к,к,в,к,вдруг,",",ударил,","
молодому,молодому,каземате,молодому,вышел,обращаясь,кулаком,обращаясь
юристу,юристу,и,юристу,из,к,по,к
:,:,пяти,:,себя,молодому,столу,молодому
—,—,лет.,—,",",юристу,и,юристу
Неправда,Неправда,—,Неправда,ударил,:,крикнул,:
!,!,Если,!,кулаком,—,",",—
Держу,Держу,это,Держу,по,Неправда,обращаясь,Неправда
пари,пари,серьезно,пари,столу,!,к,!
на,на,",",на,и,Держу,молодому,Держу
два,два,—,два,крикнул,пари,юристу,пари
миллиона,миллиона,ответил,миллиона,",",на,:,на
",",",",ему,",",обращаясь,два,—,два
что,что,юрист,что,к,миллиона,Неправда,миллиона
вы,вы,",",вы,молодому,",",!,","
не,не,—,не,юристу,что,Держу,что
высидите,высидите,то,высидите,:,вы,пари,вы
в,в,держу,в,"
",не,на,не
каземате,каземате,пари,каземате,—,высидите,два,высидите
и,и,",",и,Неправда,в,миллиона,в
пяти,пяти,что,пяти,!,каземате,",",каземате
лет,лет,высижу,лет,Держу,и,что,и
.,.,не,.,пари,пяти,вы,пяти
—,—,пять,—,на,лет,не,лет
Если,Если,",",Если,два,.,высидите,.
это,это,а,это,миллиона,—,в,—
серьезно,серьезно,пятнадцать.,серьезно,",",Если,каземате,Если
",",",",—,",",что,это,и,это
—,—,Пятнадцать,—,вы,серьезно,пяти,серьезно
ответил,ответил,?,ответил,не,",",лет,","
ему,ему,Идет,ему,высидите,—,.,—
юрист,юрист,!,юрист,в,ответил,—,ответил
",",",",—,",",каземате,ему,Если,ему
—,—,крикнул,—,и,юрист,это,юрист
то,то,банкир.,то,пяти,",",серьезно,","
держу,держу,—,держу,лет,—,",",—
пари,пари,Господа,пари,.,то,—,то
",",",",",",",","
",держу,ответил,держу
что,что,я,что,—,пари,ему,пари
высижу,высижу,ставлю,высижу,Если,",",юрист,","
не,не,два,не,это,что,",",что
пять,пять,миллиона,пять,серьезно,высижу,—,высижу
",",",",!,",",",",не,то,не
а,а,—,а,—,пять,держу,пять
пятнадцать,пятнадцать,Согласен,пятнадцать,ответил,",",пари,","
.,.,!,.,ему,а,",",а
—,—,Вы,—,юрист,пятнадцать,что,пятнадцать
Пятнадцать,Пятнадцать,ставите,Пятнадцать,",",.,высижу,.
?,?,миллионы,?,—,—,не,—
Идет,Идет,",",Идет,то,Пятнадцать,пять,Пятнадцать
!,!,а,!,держу,?,",",?
—,—,я,—,пари,Идет,а,Идет
крикнул,крикнул,свою,крикнул,",",!,пятнадцать,!
банкир,банкир,свободу,банкир,что,—,.,—
.,.,!,.,высижу,крикнул,—,крикнул
—,—,—,—,не,банкир,Пятнадцать,банкир
Господа,Господа,сказал,Господа,пять,.,?,.
",",",",юрист.,",",",",—,Идет,—
я,я,И,я,а,Господа,!,Господа
ставлю,ставлю,это,ставлю,пятнадцать,",",—,","
два,два,дикое,два,.,я,крикнул,я
миллиона,миллиона,",",миллиона,"
",ставлю,банкир,ставлю
!,!,бессмысленное,!,—,два,.,два
—,—,пари,—,Пятнадцать,миллиона,—,миллиона
Согласен,Согласен,состоялось,Согласен,?,!,Господа,!
!,!,!,!,Идет,—,",",—
Вы,Вы,Банкир,Вы,!,Согласен,я,Согласен
ставите,ставите,",",ставите,—,!,ставлю,!
миллионы,миллионы,не,миллионы,крикнул,Вы,два,Вы
",",",",знавший,",",банкир,ставите,миллиона,ставите
а,а,тогда,а,.,миллионы,!,миллионы
я,я,счета,я,—,",",—,","
